strain	replicate	age.at.death	rupture		
strain	replicate	age.at.death	rupture		
1	N2	1	14	0	
1	N2	1	14	0	
2	N2	1	16	0	
2	N2	1	16	0	
3	N2	1	16	0	
3	N2	1	16	0	
4	N2	1	16	0	
4	N2	1	16	0	
5	N2	1	16	0	
5	N2	1	16	0	
6	N2	1	18	0	
6	N2	1	18	0	
7	N2	1	18	0	
7	N2	1	18	0	
8	N2	1	18	0	
8	N2	1	18	0	
9	N2	1	18	0	
9	N2	1	18	0	
10	N2	1	21	0	
10	N2	1	21	0	
11	N2	1	21	0	
11	N2	1	21	0	
12	N2	1	21	0	
12	N2	1	21	0	
13	N2	1	21	0	
13	N2	1	21	0	
14	N2	1	21	0	
14	N2	1	21	0	
15	N2	1	21	0	
15	N2	1	21	0	
16	N2	1	23	0	
16	N2	1	23	0	
17	N2	1	23	0	
17	N2	1	23	0	
18	N2	1	23	0	
18	N2	1	23	0	
19	N2	1	23	0	
19	N2	1	23	0	
20	N2	1	23	0	
20	N2	1	23	0	
21	N2	1	23	0	
21	N2	1	23	0	
22	N2	1	23	0	
22	N2	1	23	0	
23	N2	1	23	0	
23	N2	1	23	0	
24	N2	1	23	0	
24	N2	1	23	0	
25	N2	1	23	0	
25	N2	1	23	0	
26	N2	1	23	0	
26	N2	1	23	0	
27	N2	1	23	0	
27	N2	1	23	0	
28	N2	1	23	0	
28	N2	1	23	0	
29	N2	1	23	0	
29	N2	1	23	0	
30	N2	1	23	0	
30	N2	1	23	0	
31	N2	1	23	0	
31	N2	1	23	0	
32	N2	1	23	0	
32	N2	1	23	0	
33	N2	1	23	0	
33	N2	1	23	0	
34	N2	1	23	0	
34	N2	1	23	0	
35	N2	1	25	0	
35	N2	1	25	0	
36	N2	1	25	0	
36	N2	1	25	0	
37	N2	1	25	0	
37	N2	1	25	0	
38	N2	1	25	0	
38	N2	1	25	0	
39	N2	1	25	0	
39	N2	1	25	0	
40	N2	1	25	0	
40	N2	1	25	0	
41	N2	1	25	0	
41	N2	1	25	0	
42	N2	1	25	0	
42	N2	1	25	0	
43	N2	1	25	0	
43	N2	1	25	0	
44	N2	1	25	0	
44	N2	1	25	0	
45	N2	1	25	0	
45	N2	1	25	0	
46	N2	1	25	0	
46	N2	1	25	0	
47	N2	1	25	0	
47	N2	1	25	0	
48	N2	1	25	0	
48	N2	1	25	0	
49	N2	1	25	0	
49	N2	1	25	0	
50	N2	1	25	0	
50	N2	1	25	0	
51	N2	1	25	0	
51	N2	1	25	0	
52	N2	1	25	0	
52	N2	1	25	0	
53	N2	1	25	0	
53	N2	1	25	0	
54	N2	1	25	0	
54	N2	1	25	0	
55	N2	1	25	0	
55	N2	1	25	0	
56	N2	1	25	0	
56	N2	1	25	0	
57	N2	1	25	0	
57	N2	1	25	0	
58	N2	1	25	0	
58	N2	1	25	0	
59	N2	1	25	0	
59	N2	1	25	0	
60	N2	1	25	0	
60	N2	1	25	0	
61	N2	1	25	0	
61	N2	1	25	0	
62	N2	1	25	0	
62	N2	1	25	0	
63	N2	1	25	0	
63	N2	1	25	0	
64	N2	1	25	0	
64	N2	1	25	0	
65	N2	1	28	0	
65	N2	1	28	0	
66	N2	1	28	0	
66	N2	1	28	0	
67	N2	1	28	0	
67	N2	1	28	0	
68	N2	1	28	0	
68	N2	1	28	0	
69	N2	1	28	0	
69	N2	1	28	0	
70	N2	1	28	0	
70	N2	1	28	0	
71	N2	1	28	0	
71	N2	1	28	0	
72	N2	1	28	0	
72	N2	1	28	0	
73	N2	1	28	0	
73	N2	1	28	0	
74	N2	1	28	0	
74	N2	1	28	0	
75	N2	1	28	0	
75	N2	1	28	0	
76	N2	1	28	0	
76	N2	1	28	0	
77	N2	1	28	0	
77	N2	1	28	0	
78	N2	1	28	0	
78	N2	1	28	0	
79	N2	1	28	0	
79	N2	1	28	0	
80	N2	1	28	0	
80	N2	1	28	0	
81	N2	1	28	0	
81	N2	1	28	0	
82	N2	1	28	0	
82	N2	1	28	0	
83	N2	1	28	0	
83	N2	1	28	0	
84	N2	1	28	0	
84	N2	1	28	0	
85	N2	1	28	0	
85	N2	1	28	0	
86	N2	1	28	0	
86	N2	1	28	0	
87	N2	1	28	0	
87	N2	1	28	0	
88	N2	1	28	0	
88	N2	1	28	0	
89	N2	1	28	0	
89	N2	1	28	0	
90	N2	1	28	0	
90	N2	1	28	0	
91	N2	1	28	0	
91	N2	1	28	0	
92	N2	1	28	0	
92	N2	1	28	0	
93	N2	1	28	0	
93	N2	1	28	0	
94	N2	1	28	0	
94	N2	1	28	0	
95	N2	1	28	0	
95	N2	1	28	0	
96	N2	1	28	0	
96	N2	1	28	0	
97	N2	1	28	0	
97	N2	1	28	0	
98	N2	1	28	0	
98	N2	1	28	0	
99	N2	1	28	0	
99	N2	1	28	0	
100	N2	1	28	0	
100	N2	1	28	0	
101	N2	1	28	0	
101	N2	1	28	0	
102	N2	1	28	0	
102	N2	1	28	0	
103	N2	1	28	0	
103	N2	1	28	0	
104	N2	1	28	0	
104	N2	1	28	0	
105	N2	1	28	0	
105	N2	1	28	0	
106	N2	1	28	0	
106	N2	1	28	0	
107	N2	1	28	0	
107	N2	1	28	0	
108	N2	1	28	0	
108	N2	1	28	0	
109	N2	1	28	0	
109	N2	1	28	0	
110	N2	1	30	0	
110	N2	1	30	0	
111	N2	1	30	0	
111	N2	1	30	0	
112	N2	1	30	0	
112	N2	1	30	0	
113	N2	1	30	0	
113	N2	1	30	0	
114	N2	1	30	0	
114	N2	1	30	0	
115	N2	1	30	0	
115	N2	1	30	0	
116	N2	1	30	0	
116	N2	1	30	0	
117	N2	1	30	0	
117	N2	1	30	0	
118	N2	1	30	0	
118	N2	1	30	0	
119	N2	1	30	0	
119	N2	1	30	0	
120	N2	1	30	0	
120	N2	1	30	0	
121	N2	1	30	0	
121	N2	1	30	0	
122	N2	1	30	0	
122	N2	1	30	0	
123	N2	1	30	0	
123	N2	1	30	0	
124	N2	1	30	0	
124	N2	1	30	0	
125	N2	1	30	0	
125	N2	1	30	0	
126	N2	1	30	0	
126	N2	1	30	0	
127	N2	1	30	0	
127	N2	1	30	0	
128	N2	1	30	0	
128	N2	1	30	0	
129	N2	1	30	0	
129	N2	1	30	0	
130	N2	1	30	0	
130	N2	1	30	0	
131	N2	1	30	0	
131	N2	1	30	0	
132	N2	1	30	0	
132	N2	1	30	0	
133	N2	1	32	0	
133	N2	1	32	0	
134	N2	1	32	0	
134	N2	1	32	0	
135	N2	1	32	0	
135	N2	1	32	0	
136	N2	1	32	0	
136	N2	1	32	0	
137	N2	1	32	0	
137	N2	1	32	0	
138	N2	1	32	0	
138	N2	1	32	0	
139	N2	1	32	0	
139	N2	1	32	0	
